,Yearmonth,Yearmonth_LE,continentExp,continentExp_LE,countriesAndTerritories,countriesAndTerritories_LE,cases,deaths,geoId,countryterritoryCode,popData2019,14_days_1000,case/population%,deaths/population%,kmeans_cluster,predict LR
137,20207,10,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,3.88257567,0.0,0.0,2,353.8067782408854
138,20207,10,Asia,2,Afghanistan,0,103,1,AF,AFG,38041757.0,4.55026302,0.0,0.0,2,433.70899818927944
139,20207,10,Asia,2,Afghanistan,0,105,1,AF,AFG,38041757.0,5.02868466,0.0,0.0,2,433.70899818927944
140,20207,10,Asia,2,Afghanistan,0,106,10,AF,AFG,38041757.0,4.76318694,0.0,0.0,2,427.5837761637046
143,20207,10,Asia,2,Afghanistan,0,13,0,AF,AFG,38041757.0,5.30995453,0.0,0.0,2,353.8067782408854
145,20207,10,Asia,2,Afghanistan,0,112,4,AF,AFG,38041757.0,5.60699654,0.0,0.0,2,430.92558823776625
146,20207,10,Asia,2,Afghanistan,0,140,5,AF,AFG,38041757.0,5.8646082,0.0,0.0,2,427.5837761637046
153,20207,10,Asia,2,Afghanistan,0,4,2,AF,AFG,38041757.0,8.4564969,0.0,0.0,2,432.1992623918242
154,20207,10,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,9.15835722,0.0,0.0,2,353.8067782408854
158,20207,10,Asia,2,Afghanistan,0,59,1,AF,AFG,38041757.0,10.35178265,0.0,0.0,2,433.70899818927944
162,20207,10,Asia,2,Afghanistan,0,348,7,AF,AFG,38041757.0,11.16667666,0.001,0.0,1,427.5837761637046
170,20206,9,Asia,2,Afghanistan,0,276,8,AF,AFG,38041757.0,18.15110695,0.001,0.0,1,427.5837761637046
177,20206,9,Asia,2,Afghanistan,0,346,2,AF,AFG,38041757.0,23.41900244,0.001,0.0,2,432.1992623918242
183,20206,9,Asia,2,Afghanistan,0,556,5,AF,AFG,38041757.0,25.174967600000002,0.001,0.0,1,427.5837761637046
195,20206,9,Asia,2,Afghanistan,0,545,8,AF,AFG,38041757.0,22.81177497,0.001,0.0,1,427.5837761637046
196,20206,9,Asia,2,Afghanistan,0,680,8,AF,AFG,38041757.0,22.45164439,0.002,0.0,1,427.5837761637046
199,20205,8,Asia,2,Afghanistan,0,580,8,AF,AFG,38041757.0,20.23302972,0.002,0.0,1,427.5837761637046
200,20205,8,Asia,2,Afghanistan,0,625,7,AF,AFG,38041757.0,19.00543132,0.002,0.0,1,427.5837761637046
201,20205,8,Asia,2,Afghanistan,0,658,1,AF,AFG,38041757.0,18.04333065,0.002,0.0,1,433.70899818927944
202,20205,8,Asia,2,Afghanistan,0,591,1,AF,AFG,38041757.0,17.04968569,0.002,0.0,1,433.70899818927944
203,20205,8,Asia,2,Afghanistan,0,584,2,AF,AFG,38041757.0,16.24530644,0.002,0.0,1,432.1992623918242
206,20205,8,Asia,2,Afghanistan,0,531,6,AF,AFG,38041757.0,13.44049382,0.001,0.0,1,427.5837761637046
207,20205,8,Asia,2,Afghanistan,0,492,9,AF,AFG,38041757.0,12.49416529,0.001,0.0,1,427.5837761637046
208,20205,8,Asia,2,Afghanistan,0,581,5,AF,AFG,38041757.0,11.64246962,0.002,0.0,1,427.5837761637046
209,20205,8,Asia,2,Afghanistan,0,408,4,AF,AFG,38041757.0,10.98266833,0.001,0.0,1,430.92558823776625
210,20205,8,Asia,2,Afghanistan,0,262,1,AF,AFG,38041757.0,10.40961384,0.001,0.0,2,433.70899818927944
211,20205,8,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,10.3386392,0.0,0.0,2,353.8067782408854
213,20205,8,Asia,2,Afghanistan,0,113,6,AF,AFG,38041757.0,8.32769107,0.0,0.0,2,427.5837761637046
214,20205,8,Asia,2,Afghanistan,0,259,3,AF,AFG,38041757.0,8.61421832,0.001,0.0,2,435.4477044386652
215,20205,8,Asia,2,Afghanistan,0,280,5,AF,AFG,38041757.0,8.25408774,0.001,0.0,2,427.5837761637046
216,20205,8,Asia,2,Afghanistan,0,285,2,AF,AFG,38041757.0,7.84401204,0.001,0.0,2,432.1992623918242
217,20205,8,Asia,2,Afghanistan,0,369,5,AF,AFG,38041757.0,7.54697003,0.001,0.0,1,427.5837761637046
218,20205,8,Asia,2,Afghanistan,0,255,6,AF,AFG,38041757.0,6.75573423,0.001,0.0,2,427.5837761637046
219,20205,8,Asia,2,Afghanistan,0,215,3,AF,AFG,38041757.0,6.37983151,0.001,0.0,2,435.4477044386652
220,20205,8,Asia,2,Afghanistan,0,171,2,AF,AFG,38041757.0,5.99867141,0.0,0.0,2,432.1992623918242
221,20205,8,Asia,2,Afghanistan,0,168,9,AF,AFG,38041757.0,5.82517784,0.0,0.0,2,427.5837761637046
222,20205,8,Asia,2,Afghanistan,0,330,5,AF,AFG,38041757.0,5.60436785,0.001,0.0,2,427.5837761637046
223,20205,8,Asia,2,Afghanistan,0,190,5,AF,AFG,38041757.0,4.89725015,0.0,0.0,2,427.5837761637046
225,20205,8,Asia,2,Afghanistan,0,134,4,AF,AFG,38041757.0,4.10338566,0.0,0.0,2,428.9996364140887
226,20205,8,Asia,2,Afghanistan,0,164,4,AF,AFG,38041757.0,3.91674864,0.0,0.0,2,428.9996364140887
227,20205,8,Asia,2,Afghanistan,0,222,4,AF,AFG,38041757.0,3.61970663,0.001,0.0,2,428.9996364140887
228,20204,7,Asia,2,Afghanistan,0,122,0,AF,AFG,38041757.0,3.06242427,0.0,0.0,2,353.8067782408854
229,20204,7,Asia,2,Afghanistan,0,124,3,AF,AFG,38041757.0,2.92573237,0.0,0.0,2,434.85270748427087
230,20204,7,Asia,2,Afghanistan,0,172,0,AF,AFG,38041757.0,2.7285806,0.0,0.0,2,355.13773311016865
231,20204,7,Asia,2,Afghanistan,0,68,10,AF,AFG,38041757.0,2.42890989,0.0,0.0,2,426.9887792093103
232,20204,7,Asia,2,Afghanistan,0,112,4,AF,AFG,38041757.0,2.38685085,0.0,0.0,2,430.3305912833719
233,20204,7,Asia,2,Afghanistan,0,70,1,AF,AFG,38041757.0,2.181813,0.0,0.0,2,433.31617653914327
234,20204,7,Asia,2,Afghanistan,0,105,2,AF,AFG,38041757.0,2.09506622,0.0,0.0,2,431.80644074168805
235,20204,7,Asia,2,Afghanistan,0,84,4,AF,AFG,38041757.0,1.97940384,0.0,0.0,2,430.5327665876301
236,20204,7,Asia,2,Afghanistan,0,61,1,AF,AFG,38041757.0,1.90580051,0.0,0.0,2,433.31617653914327
237,20204,7,Asia,2,Afghanistan,0,35,2,AF,AFG,38041757.0,1.82431111,0.0,0.0,2,431.80644074168805
238,20204,7,Asia,2,Afghanistan,0,88,3,AF,AFG,38041757.0,1.83219718,0.0,0.0,2,435.054882788529
239,20204,7,Asia,2,Afghanistan,0,63,0,AF,AFG,38041757.0,1.67710445,0.0,0.0,2,354.2579870174369
240,20204,7,Asia,2,Afghanistan,0,51,1,AF,AFG,38041757.0,1.60350112,0.0,0.0,2,433.31617653914327
241,20204,7,Asia,2,Afghanistan,0,10,4,AF,AFG,38041757.0,1.46943791,0.0,0.0,2,430.5327665876301
242,20204,7,Asia,2,Afghanistan,0,70,2,AF,AFG,38041757.0,1.55618469,0.0,0.0,2,431.80644074168805
243,20204,7,Asia,2,Afghanistan,0,49,2,AF,AFG,38041757.0,1.44052232,0.0,0.0,2,431.80644074168805
244,20204,7,Asia,2,Afghanistan,0,58,3,AF,AFG,38041757.0,1.37743375,0.0,0.0,2,435.054882788529
245,20204,7,Asia,2,Afghanistan,0,52,0,AF,AFG,38041757.0,1.29594435,0.0,0.0,2,357.2576238212191
246,20204,7,Asia,2,Afghanistan,0,34,3,AF,AFG,38041757.0,1.18028197,0.0,0.0,2,430.93881435241815
247,20204,7,Asia,2,Afghanistan,0,37,0,AF,AFG,38041757.0,1.13033686,0.0,0.0,2,353.4495882048546
248,20204,7,Asia,2,Afghanistan,0,61,1,AF,AFG,38041757.0,1.07513436,0.0,0.0,2,429.2001081030324
249,20204,7,Asia,2,Afghanistan,0,56,3,AF,AFG,38041757.0,0.91478425,0.0,0.0,2,433.8356855482226
250,20204,7,Asia,2,Afghanistan,0,30,4,AF,AFG,38041757.0,0.85432437,0.0,0.0,2,426.7952062370696
251,20204,7,Asia,2,Afghanistan,0,38,0,AF,AFG,38041757.0,0.78072104,0.0,0.0,2,355.339281878935
252,20204,7,Asia,2,Afghanistan,0,29,2,AF,AFG,38041757.0,0.69660295,0.0,0.0,2,415.99402041558926
253,20204,7,Asia,2,Afghanistan,0,35,1,AF,AFG,38041757.0,0.64665783,0.0,0.0,2,417.5037562130445
254,20204,7,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,0.55465367,0.0,0.0,2,348.1259779293562
255,20204,7,Asia,2,Afghanistan,0,43,0,AF,AFG,38041757.0,0.55991105,0.0,0.0,2,348.1259779293562
256,20204,7,Asia,2,Afghanistan,0,26,0,AF,AFG,38041757.0,0.44687736,0.0,0.0,2,357.00005959133165
257,20204,7,Asia,2,Afghanistan,0,25,0,AF,AFG,38041757.0,0.37853141,0.0,0.0,2,392.64585057800537
258,20203,6,Asia,2,Afghanistan,0,27,0,AF,AFG,38041757.0,0.31544284,0.0,0.0,2,393.63932956449406
259,20203,6,Asia,2,Afghanistan,0,8,1,AF,AFG,38041757.0,0.25761166,0.0,0.0,2,447.7805157382559
260,20203,6,Asia,2,Afghanistan,0,15,1,AF,AFG,38041757.0,0.25235427,0.0,0.0,2,447.7805157382559
261,20203,6,Asia,2,Afghanistan,0,16,1,AF,AFG,38041757.0,0.22080999,0.0,0.0,2,444.70320580276433
262,20203,6,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,0.18663702,0.0,0.0,2,360.3435812244989
263,20203,6,Asia,2,Afghanistan,0,33,0,AF,AFG,38041757.0,0.19452309,0.0,0.0,2,360.3435812244989
264,20203,6,Asia,2,Afghanistan,0,2,0,AF,AFG,38041757.0,0.10777629999999999,0.0,0.0,2,344.09718847049237
265,20203,6,Asia,2,Afghanistan,0,6,1,AF,AFG,38041757.0,0.10251892,0.0,0.0,2,425.566110765786
266,20203,6,Asia,2,Afghanistan,0,10,0,AF,AFG,38041757.0,0.08674678,0.0,0.0,2,346.58398458846415
267,20203,6,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,0.06045988,0.0,0.0,2,350.7316862865891
268,20203,6,Asia,2,Afghanistan,0,2,0,AF,AFG,38041757.0,0.06045988,0.0,0.0,2,350.7316862865891
269,20203,6,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,0.055202499999999995,0.0,0.0,2,350.7316862865891
270,20203,6,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,0.05783119,0.0,0.0,2,350.7316862865891
271,20203,6,Asia,2,Afghanistan,0,1,0,AF,AFG,38041757.0,0.05783119,0.0,0.0,2,350.7316862865891
272,20203,6,Asia,2,Afghanistan,0,5,0,AF,AFG,38041757.0,0.055202499999999995,0.0,0.0,2,350.7316862865891
273,20203,6,Asia,2,Afghanistan,0,6,0,AF,AFG,38041757.0,0.04205905,0.0,0.0,2,361.1896464591447
274,20203,6,Asia,2,Afghanistan,0,3,0,AF,AFG,38041757.0,0.026286900000000002,0.0,0.0,2,361.1896464591447
275,20203,6,Asia,2,Afghanistan,0,3,0,AF,AFG,38041757.0,0.01840083,0.0,0.0,2,361.1896464591447
276,20203,6,Asia,2,Afghanistan,0,3,0,AF,AFG,38041757.0,0.01051476,0.0,0.0,2,361.1896464591447
277,20203,6,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,0.00262869,0.0,0.0,2,361.1896464591447
278,20203,6,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,0.00262869,0.0,0.0,2,361.1896464591447
279,20202,5,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,0.00262869,0.0,0.0,2,361.1896464591447
280,20202,5,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,0.00262869,0.0,0.0,2,361.1896464591447
281,20202,5,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,0.00262869,0.0,0.0,2,361.1896464591447
282,20202,5,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,0.00262869,0.0,0.0,2,361.1896464591447
283,20202,5,Asia,2,Afghanistan,0,1,0,AF,AFG,38041757.0,0.00262869,0.0,0.0,2,361.1896464591447
284,20202,5,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,0.0,0.0,0.0,2,361.1896464591447
285,20202,5,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,0.0,0.0,0.0,2,361.1896464591447
